lot_area,overall_qual,year_built,year_remod/add,1st_flr_sf,gr_liv_area,full_bath,totrms_abvgrd,fireplaces,wood_deck_sf,open_porch_sf,saleprice
13517.0,6.0,1976,2005,725.0,1479.0,2.0,6.0,0.0,0.0,44.0,130500.0
11492.0,7.0,1996,1997,913.0,2122.0,2.0,8.0,1.0,0.0,74.0,220000.0
7922.0,5.0,1953,2007,1057.0,1057.0,1.0,5.0,0.0,0.0,52.0,109000.0
9802.0,5.0,2006,2007,744.0,1444.0,2.0,7.0,0.0,100.0,0.0,174000.0
14235.0,6.0,1900,1993,831.0,1445.0,2.0,6.0,0.0,0.0,59.0,138500.0
16492.0,6.0,1966,2002,1888.0,1888.0,2.0,6.0,1.0,0.0,0.0,190000.0
3675.0,6.0,2005,2006,1072.0,1072.0,2.0,5.0,0.0,0.0,44.0,140000.0
12160.0,5.0,1959,1959,1188.0,1188.0,1.0,6.0,0.0,0.0,0.0,142000.0
11606.0,5.0,1969,1969,1040.0,2080.0,1.0,9.0,2.0,335.0,0.0,135000.0
1680.0,6.0,1971,1971,483.0,987.0,1.0,4.0,0.0,0.0,0.0,85400.0
7488.0,7.0,2005,2005,1208.0,1208.0,2.0,6.0,0.0,105.0,58.0,183600.0
2645.0,8.0,1999,2000,962.0,1607.0,2.0,7.0,0.0,169.0,0.0,200000.0
9627.0,7.0,2007,2007,1361.0,1361.0,2.0,6.0,0.0,0.0,50.0,193000.0
10114.0,5.0,2004,2005,1430.0,1430.0,2.0,7.0,0.0,0.0,0.0,173500.0
4571.0,5.0,1916,1950,624.0,1344.0,1.0,7.0,0.0,0.0,0.0,98000.0
8816.0,5.0,1963,1963,1121.0,1121.0,1.0,5.0,0.0,0.0,80.0,139000.0
8197.0,6.0,1977,1977,1285.0,1285.0,1.0,7.0,1.0,138.0,0.0,143500.0
8640.0,7.0,2009,2009,764.0,1547.0,2.0,7.0,0.0,169.0,45.0,215200.0
8724.0,5.0,1968,1968,894.0,894.0,1.0,5.0,1.0,0.0,0.0,129000.0
5664.0,8.0,2000,2000,1659.0,1659.0,2.0,5.0,1.0,212.0,59.0,278000.0
12867.0,8.0,2005,2006,1209.0,2253.0,2.0,8.0,1.0,243.0,142.0,344133.0
10573.0,6.0,1961,1961,1453.0,1453.0,2.0,6.0,1.0,0.0,49.0,187500.0
8450.0,5.0,1965,2009,894.0,894.0,1.0,5.0,1.0,416.0,144.0,138500.0
11700.0,5.0,1937,1995,1265.0,1938.0,2.0,7.0,1.0,0.0,40.0,198000.0
8250.0,5.0,1895,2006,1034.0,1991.0,2.0,9.0,0.0,0.0,0.0,119600.0
8064.0,5.0,1949,2006,672.0,924.0,1.0,6.0,1.0,0.0,0.0,122900.0
11435.0,8.0,1929,1950,792.0,1517.0,1.0,7.0,2.0,0.0,0.0,230000.0
9549.0,8.0,1995,1996,1494.0,1494.0,1.0,6.0,1.0,0.0,30.0,270000.0
10950.0,6.0,1952,1952,948.0,948.0,1.0,5.0,0.0,0.0,48.0,125000.0
10637.0,8.0,2007,2008,1718.0,1718.0,2.0,7.0,1.0,208.0,44.0,297000.0
9000.0,6.0,1958,1958,1142.0,1142.0,1.0,5.0,1.0,0.0,28.0,113500.0
2665.0,5.0,1977,1977,925.0,1475.0,2.0,6.0,1.0,104.0,26.0,127000.0
11751.0,6.0,1977,1977,1844.0,1844.0,2.0,7.0,1.0,0.0,122.0,190000.0
9600.0,7.0,1973,1973,1242.0,1242.0,1.0,6.0,1.0,0.0,0.0,175500.0
8428.0,5.0,1994,1994,990.0,990.0,1.0,5.0,0.0,256.0,0.0,146000.0
9101.0,5.0,1978,1978,1110.0,1110.0,1.0,4.0,1.0,303.0,30.0,165500.0
12150.0,5.0,1954,1954,1050.0,1795.0,2.0,7.0,0.0,0.0,0.0,131500.0
11200.0,5.0,1965,1965,1040.0,1040.0,1.0,5.0,0.0,0.0,0.0,129500.0
9670.0,8.0,1935,1950,983.0,1873.0,1.0,9.0,2.0,0.0,0.0,257076.0
10998.0,5.0,1941,1960,984.0,1604.0,2.0,6.0,0.0,0.0,68.0,117000.0
7200.0,7.0,1931,2000,851.0,1502.0,1.0,6.0,1.0,0.0,0.0,149000.0
9920.0,5.0,1954,1954,1063.0,1063.0,1.0,6.0,0.0,0.0,0.0,128000.0
2448.0,7.0,2003,2004,764.0,1626.0,2.0,6.0,0.0,0.0,27.0,155000.0
2998.0,6.0,2000,2000,768.0,1524.0,2.0,4.0,0.0,0.0,32.0,166000.0
7804.0,4.0,1928,1950,1328.0,1981.0,2.0,7.0,2.0,431.0,44.0,135000.0
16692.0,7.0,1978,1978,1392.0,2784.0,3.0,12.0,2.0,0.0,112.0,250000.0
1476.0,4.0,1970,1970,546.0,1092.0,1.0,5.0,0.0,200.0,26.0,76000.0
10170.0,6.0,1951,1951,1575.0,1575.0,1.0,5.0,1.0,0.0,0.0,155000.0
9364.0,6.0,1969,1969,663.0,1352.0,1.0,7.0,0.0,379.0,36.0,158000.0
2544.0,7.0,2004,2005,600.0,1200.0,2.0,4.0,0.0,0.0,172.0,149500.0
9888.0,5.0,1954,1975,936.0,936.0,1.0,5.0,0.0,0.0,0.0,121000.0
7942.0,6.0,1953,1953,1040.0,1040.0,1.0,6.0,0.0,0.0,0.0,136000.0
15038.0,6.0,1996,1996,916.0,1636.0,2.0,7.0,1.0,168.0,84.0,173000.0
11764.0,8.0,1999,2007,1164.0,2270.0,2.0,9.0,1.0,132.0,57.0,290000.0
7308.0,5.0,1920,1950,960.0,1740.0,1.0,6.0,1.0,0.0,0.0,122250.0
8750.0,5.0,1955,1955,1382.0,1382.0,1.0,6.0,0.0,280.0,0.0,153000.0
8402.0,5.0,2007,2007,1120.0,1120.0,1.0,6.0,0.0,0.0,30.0,147000.0
4000.0,7.0,1930,1995,567.0,1098.0,1.0,5.0,1.0,0.0,0.0,148500.0
3363.0,7.0,2004,2004,976.0,1708.0,2.0,7.0,0.0,0.0,40.0,130000.0
13615.0,9.0,2006,2006,1802.0,1802.0,2.0,7.0,1.0,158.0,105.0,372000.0
3013.0,7.0,2005,2005,1506.0,1506.0,2.0,6.0,1.0,142.0,20.0,213490.0
17485.0,7.0,2009,2010,1508.0,1508.0,1.0,5.0,2.0,0.0,0.0,308030.0
8910.0,6.0,1959,1959,1194.0,1194.0,1.0,6.0,1.0,0.0,0.0,159500.0
2522.0,7.0,2004,2004,970.0,1709.0,2.0,7.0,0.0,0.0,40.0,137500.0
8688.0,7.0,2005,2005,1616.0,1616.0,2.0,7.0,0.0,208.0,59.0,232000.0
6291.0,6.0,1930,1950,768.0,768.0,1.0,4.0,0.0,0.0,0.0,93850.0
17529.0,5.0,1924,1950,872.0,872.0,1.0,5.0,1.0,0.0,0.0,105000.0
6324.0,4.0,1927,1950,520.0,520.0,1.0,4.0,0.0,49.0,0.0,68500.0
11600.0,5.0,1960,1960,1105.0,2274.0,2.0,12.0,0.0,0.0,0.0,154300.0
7288.0,5.0,1925,2003,936.0,1601.0,2.0,6.0,0.0,0.0,0.0,129850.0
4571.0,5.0,1910,1950,616.0,1232.0,1.0,6.0,0.0,280.0,0.0,114000.0
12665.0,5.0,1915,1950,876.0,1416.0,1.0,7.0,1.0,418.0,0.0,153900.0
9000.0,4.0,1971,2006,864.0,864.0,1.0,5.0,0.0,200.0,0.0,130000.0
4500.0,6.0,1997,1997,1189.0,1189.0,2.0,4.0,0.0,0.0,122.0,160500.0
6373.0,9.0,2006,2006,1666.0,1666.0,2.0,6.0,1.0,228.0,75.0,310090.0
10083.0,7.0,2003,2003,1200.0,1200.0,2.0,5.0,0.0,0.0,41.0,184900.0
13300.0,5.0,1956,2000,928.0,928.0,1.0,4.0,0.0,261.0,0.0,132000.0
9600.0,5.0,1969,1969,1336.0,1336.0,2.0,6.0,1.0,312.0,11.0,163000.0
3215.0,7.0,2004,2004,600.0,1200.0,2.0,4.0,0.0,0.0,172.0,155000.0
11104.0,6.0,1969,1969,1427.0,1427.0,2.0,7.0,0.0,0.0,0.0,183000.0
15295.0,7.0,1996,2002,1212.0,1992.0,2.0,7.0,2.0,225.0,32.0,211000.0
9109.0,7.0,1994,1994,754.0,1540.0,2.0,6.0,0.0,140.0,32.0,184000.0
7018.0,5.0,1979,1979,1535.0,1535.0,2.0,8.0,0.0,0.0,0.0,118858.0
14112.0,5.0,1964,1964,1152.0,1152.0,1.0,6.0,1.0,227.0,0.0,180500.0
3523.0,8.0,2006,2007,1151.0,1151.0,2.0,5.0,0.0,0.0,60.0,166000.0
15312.0,6.0,1960,1960,1138.0,1138.0,1.0,6.0,1.0,0.0,0.0,148000.0
7450.0,5.0,1956,1956,1074.0,1074.0,1.0,6.0,1.0,0.0,72.0,124000.0
7313.0,9.0,2005,2005,1561.0,1561.0,2.0,6.0,1.0,203.0,47.0,277500.0
10019.0,8.0,1995,1995,1358.0,2726.0,2.0,9.0,1.0,307.0,169.0,350000.0
15401.0,9.0,2004,2004,1884.0,1884.0,2.0,7.0,1.0,214.0,76.0,387000.0
